Taxon,Petals,Internode,Sepal,Bract,Petiole,Leaf,Fruit
I,1.9947677961410866,-0.8835994032565174,0.8938496778405267,1.699479501737059,-0.5947228253395016,1.144644145717306,-3.0411351695068842
I,1.3007414239242596,0.8938039184680456,0.9947845023586912,-2.94860706175248,-0.3229648378322665,0.84117850268672,-0.16562127052571268
I,1.1098511653718057,0.015618207594169098,0.6110334027479352,-2.156617103917926,-2.9864541211313322,1.7949528212321846,-1.9185633728194942
I,2.2162694830495084,-0.17685700709989255,1.2909400162434905,-2.3775860654562715,-4.127188499866363,0.9343169880318107,-0.8231698104919251
I,1.2923036788763458,-0.39395359712971556,0.7724792588642131,-1.3271655729475935,-2.8570393150788727,2.8974170831743624,-0.5825224810168108
I,0.5065141031722662,-1.3162817204722592,2.3751029621498936,-0.3691738798300199,-2.1513686242863574,-0.10135619830449727,-1.2949275784656071
I,1.2982070768933256,-2.32216968053,2.328321996186666,-0.9373728021788666,-2.4797596686944607,1.313997812542738,-0.6899541393207869
I,2.499226810699266,-0.44493712123989787,1.976775744921444,-0.628153256123187,-1.8421028829324153,0.4987473969902634,-1.1684840527905065
I,1.1455528239038573,0.06060333854726127,2.1635796231765916,-0.9523688426033886,-3.6363808955545807,1.4517639502861157,-0.568552635619247
I,-0.2844715887203082,0.3386604312560538,1.067204575284178,-1.4039769515755056,-3.4163613012215555,1.0535705924171048,-0.48653590609201414
I,1.0613017126093267,0.6726558552328197,2.086129234983066,-1.5806528448309887,-2.9336831433228925,0.08160151916767266,-1.2842217225696881
I,1.5613149079756479,2.7293180499725516,2.66628394126526,-2.199419482199276,-2.8252108866291983,2.172854932618673,-1.4143199881609632
I,0.7206997322269619,1.1568616916882184,1.191665811512967,-0.6133203762127247,-1.8178839218441816,-0.05201983359410711,-1.2856719791294497
I,0.2585571766579332,-1.5224592158496013,0.36517127154661666,-1.7192869336755165,-2.7748203505181537,2.68014780280683,1.4328670814384914
I,2.0489120994236703,-0.7627699043975741,2.7379622816370124,-2.226135904478537,-2.0801940667381373,2.373349139590689,0.11250409346471413
I,0.8927913072782637,-1.1595580817601476,2.72191422494798,-3.037879800648304,-1.8386013085990411,0.5753198051642827,-1.1878227963126888
I,0.9561879356762534,-1.4892847588702751,0.30767345292787396,-1.6787272340183956,-1.5053599068023664,2.6508090223717775,-1.2633080898008036
I,3.2054611894790765,-0.3174516963980964,3.1202039731667317,-1.8714395510912687,-2.3221001246580535,2.219906156789363,1.1516538456738474
I,1.1232326886648838,0.9006443092663808,3.4191948303937885,-1.0934532858204697,-0.9366526696057356,-0.3618558762404789,-0.4277300665377187
I,1.8404752896203311,-0.837318076950718,1.1985091374305508,-1.0170321970290659,-3.3772426404996017,1.5574807199968213,0.8671177867721972
I,0.5104391938068623,-0.593338964765023,1.6101976150529547,-2.9628452944112267,-3.4898859640100914,0.5475673356563071,0.638215640995954
I,0.43856374087544603,0.4522904833650683,2.071149594265929,-0.6441188725887447,-2.796208198858789,1.432825763622462,1.3402946818148718
I,1.5764236870349013,0.5844082063185766,1.3920848964165238,-1.357666181676414,-0.43342519344441843,0.35875814412175133,-0.4443425993609284
I,1.7425870509635806,1.249767721197966,2.452342706983762,-0.769663539983499,-2.178450420351514,3.48906032207059,-0.34951611082967615
I,1.2383159523163414,0.6185250839906387,1.37948091478688,-2.305819215436134,-2.6650767094018426,2.699119822960937,0.813866431036865
I,0.5530857840786203,-0.11518476511275423,2.066193239345541,0.04810158558974886,-2.3753532371108896,2.5112638354683523,-0.1561452870498265
I,0.8287272551682874,-0.9126713451013759,0.2780463288418047,-2.2214825220952794,-2.1562561495149444,3.5938536513812407,-1.6018681688548515
I,2.235051378093319,1.386728900245461,1.1378350168472275,-2.6848607633274097,-3.6170367802901886,2.1956251814669083,1.2656822945066746
I,0.5236671493011731,0.1311438112561128,2.2085856064815808,-0.538543578954584,-2.538078546019124,2.674516285689614,-1.6860989491963223
I,1.6163709483880324,1.498132897878873,0.938583835975298,-1.7581531516802036,-1.9170791079311205,2.0305441039922925,-1.7946978653819503
II,4.717630086337613,-0.982397208908987,-0.8754573112016203,2.7290974144042135,2.738126293451207,-0.5305132027123127,-7.387393410901159
II,2.9396040046185314,-1.686480052621425,-0.9463694092028178,-0.6198836022654539,1.9553028730855972,-2.5615049652874022,-6.598117243581338
II,2.2860850622940756,-0.4759643612477382,-2.8398575813430247,-0.11752225961429286,3.5772809414850713,-0.20635836162074916,-5.034833818066318
II,4.324904103856003,-3.6649643430249075,-0.709977318532637,0.30267512815442554,2.228329752732429,0.8647483522205182,-5.205900415917166
II,4.161183118101998,-1.7371595568703644,-0.86904708007571,2.8760826305795404,0.9422561304756438,-1.71198988782003,-4.553131120836428
II,3.1712816526612664,-1.617291735362059,-2.2759026078517652,0.47261355466974553,2.563732691578287,-3.4055457101165487,-5.084571378203406
II,3.3872687093598484,-0.9998987737951768,-3.198861942178252,0.032817476730502726,0.19513761563224463,-0.4626317674556898,-6.836234613023052
